label,x,y,z
725,7.1457424,0.0,0.09
726,7.0958414,0.0,0.09
727,7.0459404,0.0,0.09
728,6.9960394,0.0,0.09
729,6.9461384,0.0,0.09
730,6.8962379,0.0,0.09
731,6.8463368,0.0,0.09
732,6.7964358,0.0,0.09
733,6.7465348,0.0,0.09
734,6.6966338,0.0,0.09
735,6.6467328,0.0,0.09
736,6.5968318,0.0,0.09
737,6.5469308,0.0,0.09
738,6.4970298,0.0,0.09
739,6.4471288,0.0,0.09
740,6.3972278,0.0,0.09
741,6.3473268,0.0,0.09
742,6.2974257,0.0,0.09
743,6.2475247,0.0,0.09
744,6.1976237,0.0,0.09
745,6.1477227,0.0,0.09
746,6.0978217,0.0,0.09
747,6.0479207,0.0,0.09
748,5.9980197,0.0,0.09
749,5.9481187,0.0,0.09
750,5.8982177,0.0,0.09
751,5.8483167,0.0,0.09
752,5.7984157,0.0,0.09
753,5.7485147,0.0,0.09
754,5.6986136,0.0,0.09
755,5.6487126,0.0,0.09
756,5.5988121,0.0,0.09
757,5.5489111,0.0,0.09
758,5.4990101,0.0,0.09
759,5.4491091,0.0,0.09
760,5.3992081,0.0,0.09
761,5.3493071,0.0,0.09
762,5.2994061,0.0,0.09
763,5.249505,0.0,0.09
764,5.199604,0.0,0.09
765,5.149703,0.0,0.09
766,5.099802,0.0,0.09
767,5.049901,0.0,0.09
768,5.0,0.0,0.09
769,4.950099,0.0,0.09
770,4.900198,0.0,0.09
771,4.850297,0.0,0.09
772,4.800396,0.0,0.09
773,4.750495,0.0,0.09
774,4.7005939,0.0,0.09
775,4.6506929,0.0,0.09
776,4.6007919,0.0,0.09
777,4.5508909,0.0,0.09
778,4.5009899,0.0,0.09
779,4.4510889,0.0,0.09
780,4.4011879,0.0,0.09
781,4.3512874,0.0,0.09
782,4.3013864,0.0,0.09
783,4.2514853,0.0,0.09
784,4.2015843,0.0,0.09
785,4.1516833,0.0,0.09
786,4.1017823,0.0,0.09
787,4.0518813,0.0,0.09
788,4.0019803,0.0,0.09
789,3.9520793,0.0,0.09
790,3.9021783,0.0,0.09
791,3.8522773,0.0,0.09
792,3.8023763,0.0,0.09
793,3.7524753,0.0,0.09
794,3.7025743,0.0,0.09
795,3.6526732,0.0,0.09
796,3.6027722,0.0,0.09
797,3.5528712,0.0,0.09
798,3.5029702,0.0,0.09
799,3.4530692,0.0,0.09
800,3.4031682,0.0,0.09
801,3.3532674,0.0,0.09
802,3.3033664,0.0,0.09
803,3.2534654,0.0,0.09
804,3.2035644,0.0,0.09
805,3.1536634,0.0,0.09
806,3.1037624,0.0,0.09
807,3.0538614,0.0,0.09
808,3.0039604,0.0,0.09
809,2.9540594,0.0,0.09
810,2.9041584,0.0,0.09
811,2.8542573,0.0,0.09
812,2.8043563,0.0,0.09
813,2.7544553,0.0,0.09
814,2.7045546,0.0,0.09
815,2.6546535,0.0,0.09
816,2.6047525,0.0,0.09
817,2.5548515,0.0,0.09
818,2.5049505,0.0,0.09
819,2.4550495,0.0,0.09
820,2.4051485,0.0,0.09
821,2.3552475,0.0,0.09
822,2.3053465,0.0,0.09
823,2.2554455,0.0,0.09
824,2.2055445,0.0,0.09
825,2.1556435,0.0,0.09
826,2.1057427,0.0,0.09
827,2.0558417,0.0,0.09
828,2.0059407,0.0,0.09
829,1.9560395,0.0,0.09
830,1.9061387,0.0,0.09
831,1.8562376,0.0,0.09
832,1.8063366,0.0,0.09
833,1.7564356,0.0,0.09
834,1.7065346,0.0,0.09
835,1.6566336,0.0,0.09
836,1.6067327,0.0,0.09
837,1.5568317,0.0,0.09
838,1.5069307,0.0,0.09
839,1.4570297,0.0,0.09
840,1.4071287,0.0,0.09
841,1.3572277,0.0,0.09
842,1.3073267,0.0,0.09
843,1.2574258,0.0,0.09
844,1.2075248,0.0,0.09
845,1.1576238,0.0,0.09
846,1.1077228,0.0,0.09
847,1.0578218,0.0,0.09
848,1.0079207,0.0,0.09
849,0.9580198,0.0,0.09
850,0.9081188,0.0,0.09
851,0.8582178,0.0,0.09
852,0.8083168,0.0,0.09
853,0.7584158,0.0,0.09
854,0.7085149,0.0,0.09
855,0.6586139,0.0,0.09
856,0.6087129,0.0,0.09
857,0.5588119,0.0,0.09
858,0.5089109,0.0,0.09
859,0.4590099,0.0,0.09
860,0.4091089,0.0,0.09
861,0.3592079,0.0,0.09
862,0.3093069,0.0,0.09
863,0.2594059,0.0,0.09
864,0.2095049,0.0,0.09
865,0.159604,0.0,0.09
866,0.109703,0.0,0.09
867,0.059802,0.0,0.09
868,0.009901,0.0,0.09
869,-0.04,0.0,0.06
870,-0.04,0.0,0.03
871,-0.04,-0.02,0.0
872,-0.04,-0.02,0.09
873,10.04,-0.02,0.09
874,10.04,-0.02,0.0
875,0.009901,-0.04,0.0
876,0.059802,-0.04,0.0
877,0.109703,-0.04,0.0
878,0.159604,-0.04,0.0
